order_id,customer_sk,channel_sk,store_id_src,province_sk,date_sk,time_sk_order,order_ts,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount
1000000000,356,1,,1,20241126,75047,2024-11-26 07:50:47,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0
1000000001,601,1,,1,20240131,10004,2024-01-31 01:00:04,CREATED,ARS,63840.0,13406.4,900.0,78146.4
1000000002,1234,1,,1,20250226,193944,2025-02-26 19:39:44,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6
1000000003,156,1,,1,20250301,173536,2025-03-01 17:35:36,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0
1000000004,616,2,4,4,20240330,24636,2024-03-30 02:46:36,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75
1000000005,614,2,2,2,20240312,205435,2024-03-12 20:54:35,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0
1000000006,188,1,,2,20250715,225556,2025-07-15 22:55:56,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5
1000000007,17,1,,1,20241111,201500,2024-11-11 20:15:00,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
1000000008,1148,1,,1,20240825,32928,2024-08-25 03:29:28,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0
1000000009,1037,1,,3,20240330,103446,2024-03-30 10:34:46,PAID,ARS,12825.0,2693.25,1200.0,16718.25
1000000010,1336,2,1,1,20240313,21939,2024-03-13 02:19:39,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0
1000000011,1239,2,4,4,20250617,34629,2025-06-17 03:46:29,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4
1000000012,1426,2,3,3,20240809,143829,2024-08-09 14:38:29,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
1000000013,862,2,1,1,20250323,112614,2025-03-23 11:26:14,PAID,ARS,101887.5,21396.38,0.0,123283.88
1000000014,181,1,,1,20250818,124612,2025-08-18 12:46:12,PAID,ARS,11760.0,2469.6,900.0,15129.6
1000000015,700,1,,1,20240915,124340,2024-09-15 12:43:40,CANCELLED,ARS,23520.0,4939.2,1200.0,29659.2
1000000016,475,1,,1,20250827,224632,2025-08-27 22:46:32,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8
1000000017,753,2,2,2,20250219,143604,2025-02-19 14:36:04,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7
1000000018,1151,1,,1,20240714,152018,2024-07-14 15:20:18,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9
1000000019,793,1,,1,20250421,41218,2025-04-21 04:12:18,FULFILLED,ARS,37044.0,7779.24,1200.0,46023.24
1000000020,866,1,,1,20240506,13624,2024-05-06 01:36:24,FULFILLED,ARS,49500.0,10395.0,0.0,59895.0
1000000021,1110,1,,1,20250923,220551,2025-09-23 22:05:51,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
1000000022,854,2,1,1,20240331,21634,2024-03-31 02:16:34,REFUNDED,ARS,24000.0,5040.0,0.0,29040.0
1000000023,379,2,3,3,20250705,194257,2025-07-05 19:42:57,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0
1000000024,441,2,2,2,20250302,155705,2025-03-02 15:57:05,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
1000000025,125,1,,2,20250826,65745,2025-08-26 06:57:45,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88
1000000026,1201,1,,1,20241212,235948,2024-12-12 23:59:48,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
1000000027,1055,1,,1,20241202,14459,2024-12-02 01:44:59,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0
1000000028,382,1,,1,20240517,61107,2024-05-17 06:11:07,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0
1000000029,1456,1,,2,20250914,24349,2025-09-14 02:43:49,FULFILLED,ARS,64740.0,13595.4,900.0,79235.4
1000000030,1377,2,4,4,20250609,190255,2025-06-09 19:02:55,PAID,ARS,34200.0,7182.0,0.0,41382.0
